term,definition
despicable,"경멸스러운, 비열한, 야비한"
despise,경멸하다
despondent,"낙심한, 풀죽은"
desultory,"계획 없는, 목적 없는"
detain,"붙들다, 지체시키다; 구류하다"
deteriorate,"악화시키다, 손상시키다"
determinative,결정적인
deterministic,"결정론의, 결정론적인"
deterrence,단념시키는 것
detour,우회하다
deviate,"이탈하다, 일탈하다"
devious,"부정한 방법을 쓰는; 돌아가는, 우회하는"
devitalize,"활력을 빼앗다, 약화시키다"
dexterous,"솜씨 좋은, 능숙한"
diabolic,악마 같은
diagnose,진단하다
diaphanous,"(천이) 얇은, 비치는; (생각) 확실하지 않은, (가능성) 희박한"
diatribe,"통렬한 비난, 혹평"
dicey,"예측할 수 없는, 잠재적으로 위험한"
didactic,"가르치기 위한, 교훈적인, 설교적인"
diehard,완강하게 저항하는; 완고한 보수주의자
diffident,"자신 없는, 기가 죽은, 수줍어하는"
diffuse,"퍼뜨리다, 확산시키다"
digit,손가락 또는 발가락
digress,(주제에서) 벗어나다
dike,제방
dilapidated,낡은
dilate,확장되다; 장황하게 말하다
dilatory,"행동이 느린, 늑장부리는"
dilettante,아마추어 (예술가)
dilute,"묽게 하다, 약화시키다"
diminution,"축소, 감소"
din,소음
diplomatic,"(사람 다루는 데에) 능숙한, 능란한"
dire,"끔찍한, 불길한"
dirge,"만가, 비가"
disabuse,"(그릇된 생각) 바로잡다, (오해) 풀어주다"
disaffect,정떨어지게 하다; 불만을 품게 하다
disarm,적개심을 제거하다; 무장해제시키다
disavow,"부인하다, 거부하다, 의절하다"
discern,"알아보다, 이해하다, 분별하다"
discernment,"인식력, 분별력, 판단력"
disclosure,폭로
discombobulate,혼란스럽게 하다
discomfit,당황하게 하다
discommode,폐를 끼치다
discompose,"마음을 불안케 하다, 마음의 평정을 빼앗다"
disconcerted,마음이 혼란스런
discordant,"불협화음의, 조화를 이루지 못하는"
discreditable,"불명예스러운, 비난 받을만한"
discreet,"신중한, 조심스러운"
discrepancy,"불일치, 차이, 어긋남"
discretionary,재량껏 할 수 있는
discursive,"산만한, 종작없는"
disembarrass,"(짐, 장애, 걱정 등에서) 해방하다"
disgruntle(d),"화난, 불만족한"
disguise,위장하다
disillusion,몽상이나 잘못된 믿음에서 깨어나게 하다
disinclined,"하기 싫은, 내키지 않는"
disinfect,살균 소독하다
disingenuous,"솔직하지 않은, 부정직한"
disintegrate,"해체시키다, 해체하다"
